identificatie,photo_dist
0363100012062180,5.220579
0363100012062199,4.616211
0363100012062363,5.239833
0363100012062366,5.126911
0363100012062441,5.056991
0363100012063100,5.555022
0363100012064046,6.976705
0363100012064162,7.164679
0363100012064275,5.676549
0363100012064375,6.006277
0363100012064620,6.643621
0363100012065237,4.700601
0363100012066285,4.44183
0363100012067084,5.457224
0363100012069000,3.982454
0363100012069612,5.446591
0363100012070167,4.467719
0363100012070188,3.356876
0363100012070212,4.540852
0363100012071563,3.988765
0363100012072403,6.650772
0363100012072789,4.491244
0363100012072953,3.889476
0363100012073237,4.813696
0363100012073461,3.983876
0363100012074099,7.400621
0363100012074680,6.482468
0363100012075051,5.165833
0363100012075339,5.74007
0363100012075928,6.952543
0363100012076105,7.253947
0363100012076136,5.028439
0363100012076229,4.295629
0363100012076606,3.280747
0363100012076807,6.75977
0363100012076873,7.038262
0363100012076940,6.165638
0363100012077123,7.328683
0363100012077257,5.682605
0363100012077334,4.640797
0363100012077418,3.898041
0363100012077627,6.394306
0363100012077719,6.911246
0363100012077963,6.693904
0363100012078100,5.627051
0363100012078123,4.99515
0363100012078129,7.385366
0363100012078256,5.99234
0363100012078341,5.346637
0363100012078394,4.052661
0363100012078582,4.673555
0363100012078685,7.084916
0363100012078709,6.263028
0363100012079132,6.68745
0363100012079435,6.074778
0363100012079917,5.54923
0363100012080258,3.874964
0363100012080341,5.206843
0363100012080595,4.130208
0363100012081412,6.191043
0363100012081564,6.597322
0363100012081759,4.93509
0363100012081870,5.790724
0363100012081970,6.235404
0363100012082417,7.055971
0363100012082725,5.094838
0363100012082847,6.048271
0363100012083063,7.335547
0363100012083355,3.144554
0363100012084028,5.079255
0363100012084120,7.107521
0363100012084385,5.749504
0363100012084781,3.848233
0363100012084930,6.30538
0363100012085291,7.258264
0363100012085558,6.170937
0363100012085598,5.71589
0363100012085856,6.831941
0363100012086217,6.965972
0363100012086440,6.874931
0363100012086486,5.248847
0363100012086611,4.936512
0363100012086758,3.60031
0363100012088156,7.864424
0363100012088335,2.608691
0363100012088346,6.152868
0363100012089202,4.531072
0363100012089339,5.919973
0363100012089569,5.217862
0363100012089921,4.837045
0363100012089976,5.569904
0363100012090123,4.944772
0363100012090576,4.204001
0363100012090593,3.952886
0363100012090831,6.455076
0363100012091366,5.201864
0363100012091988,3.455374
0363100012092002,7.051067
0363100012092309,4.021073
0363100012092392,3.839727
0363100012092431,4.344649
0363100012093012,5.351278
0363100012093175,5.937944
0363100012093957,3.415428
0363100012094388,7.361534
0363100012094502,7.24817
0363100012094561,3.140242
0363100012094882,5.706582
0363100012095225,6.774975
0363100012095346,5.770437
0363100012095370,5.713777
0363100012095561,7.731483
0363100012095953,4.089787
0363100012096325,6.541395
0363100012096327,6.043898
0363100012096415,6.808365
0363100012096760,5.541953
0363100012097124,8.071945
0363100012097353,7.197161
0363100012097450,2.345569
0363100012097677,6.935188
0363100012097686,5.539758
0363100012097804,3.633722
0363100012097833,5.263832
0363100012098067,4.255928
0363100012098214,5.862045
0363100012098274,5.397413
0363100012098479,5.049517
0363100012098479,5.625796
0363100012099506,5.598863
0363100012099611,6.586368
0363100012100018,7.04276
0363100012100179,7.40032
0363100012100265,6.905486
0363100012101144,7.001995
0363100012101476,6.837399
0363100012101607,5.204441
0363100012101634,6.097777
0363100012102025,5.505988
0363100012102291,6.200934
0363100012102438,5.203542
0363100012102705,5.469565
0363100012102806,5.132484
0363100012102847,5.589685
0363100012103147,7.113969
0363100012103922,6.473203
0363100012104294,4.375361
0363100012104605,3.983211
0363100012104781,3.725866
0363100012104824,6.132191
0363100012105222,6.612366
0363100012105309,5.365418
0363100012105445,4.48596
0363100012105525,4.189655
0363100012105856,6.145117
0363100012105965,6.636591
0363100012105977,6.853163
0363100012106490,6.593874
0363100012106511,6.020559
0363100012106703,4.733683
0363100012106965,6.044333
0363100012107626,5.143055
0363100012107761,6.82963
0363100012107777,4.62208
0363100012107888,6.298625
0363100012108000,6.548843
0363100012108485,4.209174
0363100012108513,5.591881
0363100012109677,5.629409
0363100012110039,3.127812
0363100012110250,5.762153
0363100012110496,3.675584
0363100012111098,5.488789
0363100012111225,5.017103
0363100012112305,5.069633
0363100012112833,5.91726
0363100012113735,6.581482
0363100012113939,5.579036
0363100012114418,6.400809
0363100012114717,5.517738
0363100012115038,4.333598
0363100012115279,6.659404
0363100012115537,8.278141
0363100012116025,6.706545
0363100012116279,5.164766
0363100012116770,7.059252
0363100012117275,4.16287
0363100012117763,6.040219
0363100012117951,6.273434
0363100012118231,6.298999
0363100012118344,4.02097
0363100012118397,3.269888
0363100012118495,6.551285
0363100012118622,5.278315
0363100012118961,6.303161
0363100012119004,6.930507
0363100012119308,7.109552
0363100012119390,5.821328
0363100012119519,6.831971
0363100012119621,7.081391
0363100012119901,5.163152
0363100012119971,6.686669
0363100012120189,4.056724
0363100012120441,4.745026
0363100012120535,4.739876
0363100012120707,4.804524
0363100012120749,3.844667
0363100012121296,4.893953
0363100012121513,3.248214
0363100012121930,6.429068
0363100012121992,5.166172
0363100012122010,4.159394
0363100012122143,5.086602
0363100012122423,7.289683
0363100012122457,7.548129
0363100012124012,6.896554
0363100012124141,3.96483
0363100012124840,5.825129
0363100012124992,6.788285
0363100012125012,5.253622
0363100012125341,6.395068
0363100012125490,6.942135
0363100012125680,6.78052
0363100012126210,7.073193
0363100012126308,4.297369
0363100012126359,7.683319
0363100012126667,6.644766
0363100012127011,6.601025
0363100012127403,5.362774
0363100012128107,4.946634
0363100012128158,6.066422
0363100012128358,6.858029
0363100012128386,5.687107
0363100012128424,3.979251
0363100012128860,5.564671
0363100012129276,4.589728
0363100012129684,6.77306
0363100012130804,5.157595
0363100012131821,6.466342
0363100012134127,5.43376
0363100012134529,3.952871
0363100012134652,5.310149
0363100012134810,3.849118
0363100012134866,6.113141
0363100012135958,6.368974
0363100012135973,5.839649
0363100012136140,4.829163
0363100012136632,5.635856
0363100012136656,3.644987
0363100012136658,5.237267
0363100012136664,4.417829
0363100012137159,6.56771
0363100012138344,4.047058
0363100012138781,7.204155
0363100012139452,5.309468
0363100012139455,5.661748
0363100012139851,6.567396
0363100012140261,5.576269
0363100012140371,4.378571
0363100012140519,5.342871
0363100012140582,6.157503
0363100012140856,7.979646
0363100012141469,5.68788
0363100012141485,4.448114
0363100012141707,5.515691
0363100012141840,5.24535
0363100012142207,6.438073
0363100012142410,7.596915
0363100012142455,3.636761
0363100012142481,5.868618
0363100012142811,7.138285
0363100012143395,6.454524
0363100012143853,5.074481
0363100012144104,6.410855
0363100012144502,6.081761
0363100012144741,4.983535
0363100012145113,6.634229
0363100012145362,6.838437
0363100012145395,3.911202
0363100012145513,4.925513
0363100012145756,5.628801
0363100012146740,5.57799
0363100012146905,5.74972
0363100012146905,5.787007
0363100012148018,6.889326
0363100012148141,6.429651
0363100012148564,7.429796
0363100012148681,7.07606
0363100012148729,4.465841
0363100012148970,6.278289
0363100012149438,4.603182
0363100012151793,4.327857
0363100012151921,4.197832
0363100012151973,3.311896
0363100012151973,5.593146
0363100012152237,4.495921
0363100012154067,6.26951
0363100012154645,5.60821
0363100012155277,6.229224
0363100012163984,6.925495
0363100012164573,3.379903
0363100012165032,5.465349
0363100012165034,7.133772
0363100012165035,6.850216
0363100012165038,5.105215
0363100012165048,5.069456
0363100012165060,5.346305
0363100012165435,4.852048
0363100012165494,7.811071
0363100012166652,4.945929
0363100012167479,4.209638
0363100012167491,4.140019
0363100012167547,4.567098
0363100012167550,8.170915
0363100012167556,6.702634
0363100012167561,6.065398
0363100012167566,6.235896
0363100012167601,3.604606
0363100012167605,4.540813
0363100012167608,4.029635
0363100012167609,6.118799
0363100012167611,6.360532
0363100012167618,6.054616
0363100012167636,5.36756
0363100012167723,4.858638
0363100012167785,7.593151
0363100012167806,5.385444
0363100012167808,6.743764
0363100012167869,4.281495
0363100012167872,5.786548
0363100012167885,3.387661
0363100012167892,6.182673
0363100012167949,3.171717
0363100012167957,3.247074
